s_x,P,P2,d_b,h_x,h_y,parameters
0.0,0.0,0.0,0.0,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.1111111111111111,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.2222222222222222,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.4444444444444444,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.5555555555555556,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.6666666666666666,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.7777777777777778,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,0.8888888888888888,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.0,0.0,0.0,1.0,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.26703787546307994,0.2670378627311674,0.0,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.26703787961214365,0.2670378826744442,0.1111111111111111,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.26703789069839723,0.26703787587190625,0.2222222222222222,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.267037893543605,0.26703786808054886,0.3333333333333333,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.2670378963284773,0.26703789202727873,0.4444444444444444,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.2670378669597569,0.26703788877227014,0.5555555555555556,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.2670378610880066,0.2670378786659825,0.6666666666666666,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.2670378653452441,0.26703788603934375,0.7777777777777778,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.26703787592062134,0.26703788365726294,0.8888888888888888,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.1988888888888889,0.26703789444640597,0.2670378819090274,1.0,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.2340743266306708,0.1383633171232752,0.0,1.0,0.9224630266575181,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407431868700215,0.1346552442795682,0.1111111111111111,1.0,0.933815686101833,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407432169911124,0.1311155420127876,0.2222222222222222,1.0,0.944709694299961,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407432971230166,0.12773453686632377,0.3333333333333333,1.0,0.955181546329561,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.2340743376915851,0.12450311364515003,0.4444444444444444,1.0,0.9652633873844161,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407433215972892,0.12141272093383135,0.5555555555555556,1.0,0.9749837091219439,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407433046940151,0.11845532133396185,0.6666666666666666,1.0,0.9843681355303581,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407431382110053,0.1156233990407835,0.7777777777777778,1.0,0.9934392623865175,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407431779683663,0.11298539615642278,0.8888888888888888,1.0,1.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.29777777777777775,0.23407433755218937,0.11066946828106626,1.0,1.0,1.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.20111122917661964,0.1423318830987318,0.0,1.0,0.7846143420221121,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.20111123935153688,0.13848819445303728,0.1111111111111111,1.0,0.8001045259694836,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.20111123459194158,0.13482127334087346,0.2222222222222222,1.0,0.814685207429337,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.2011112331620946,0.1313206372472077,0.3333333333333333,1.0,0.828461598172382,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.20111123978564077,0.12797647603514523,0.4444444444444444,1.0,0.8415216908858815,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.20111124149737739,0.12477960577700324,0.5555555555555556,1.0,0.8539396929442054,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.2011112285699403,0.12172147921956897,0.6666666666666666,1.0,0.8657783857076554,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.20111123594053285,0.118794108559663,0.7777777777777778,1.0,0.8770915608566506,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.20111123554429258,0.11599003366351429,0.8888888888888888,1.0,0.8879259593141369,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.39666666666666667,0.2011112418401498,0.11330228043066448,1.0,1.0,0.8983221004133254,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.16814822016400258,0.1681482194690442,0.0,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.16814821960019466,0.1681482222710395,0.1111111111111111,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.16814821384005094,0.16814821345233907,0.2222222222222222,0.0,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.1681482173653808,0.14282079638628706,0.3333333333333333,0.6870286660698546,0.5194862016313297,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.1681482144585146,0.13843142909398823,0.4444444444444444,0.7369156269461005,0.556530242245608,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.16814821852395295,0.1344046399901256,0.5555555555555556,0.7783137391041853,0.587258783463813,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.16814821839563504,0.13065833272618357,0.6666666666666666,0.8139501280424943,0.6137131988225225,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.16814821638633723,0.12714391975676295,0.7777777777777778,0.8453776102425478,0.6370482559142453,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
0.4955555555555556,0.16814822315590067,0.12382878407074045,0.8888888888888888,0.8735831121778755,0.657993794599933,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.0, ""h_x"" => 0.0, ""p_u"" => 0.6, ""s_y"" => 0.5, ""a"" => 0.1, ""h_y_bar"" => 0.0, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.0, ""b_y"" => 4.0, ""s_jy"" => 0.41, ""s_x"" => 0.99, ""p_j"" => 0.55)"
